url,name,total_time,rating_value,rating_count,calories,fat_g,sat_fat_g,sugar_g,fiber_g,cholesterol_mg,sodium_mg,carbs_g,protein_g,ingredients
www.loveandlemons.com/baked-sweet-potato/,Baked Sweet Potato,45m,4.95,525,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sweet Potatoes; Butter or vegan butter; Sea salt; Chives; Greek yogurt or tzatziki; Guacamole; Creamy avocado cilantro lime dressing; Any of these stuffing ideas!
www.recipetineats.com/chocolate-cake/#recipe,Chocolate Cake,45m,4.98,475,351,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1 3/4 cups plain / all purpose flour; 3/4 cup cocoa powder (, unsweetened (Note 2)); 1 1/2 tsp baking powder; 1 1/2 tsp baking soda (bi-carb soda); 2 cups white sugar ((Note 1)); 1 tsp salt; 2  eggs ((~55-65g / 2 oz each)); 1 cup milk ((low or full fat)); 1/2 cup vegetable oil ((or canola)); 2 tsp vanilla extract; 1 cup boiling water; 1 1/2 batches Chocolate Buttercream Frosting ((slide scaler on recipe))"
www.loveandlemons.com/carrot-ginger-soup/,Carrot Soup Recipe with Ginger,46m,4.92,607,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1 tablespoon extra-virgin olive oil; ½ medium yellow onion (chopped); ½ teaspoon sea salt; 3  garlic cloves (smashed); 1 pound carrots (roughly chopped); 1 teaspoon grated fresh ginger; 1 tablespoon apple cider vinegar; 3 cups vegetable broth; Freshly ground black pepper; 1 teaspoon maple syrup (optional); Coconut milk (for garnish, optional)"
www.loveandlemons.com/cabbage-soup/,Cabbage Soup,50m,4.93,535,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 tablespoons extra-virgin olive oil; 2  carrots (chopped); 1  medium yellow onion (diced); 1  celery rib (diced); ¾ teaspoon sea salt; Freshly ground black pepper; 2 tablespoons white wine vinegar; 2 (14.5-ounce) cans fire-roasted diced tomatoes; 4 cups vegetable broth; 1 (15.5-ounce) can cooked white beans (drained and rinsed); 4  garlic cloves (grated); 2  Yukon Gold potatoes (diced); 1  small green cabbage (about 1 pound (9 cups chopped)); 1 teaspoon dried thyme; Fresh parsley (for garnish)
www.loveandlemons.com/pickled-red-onions/,Pickled Red Onions,10m,4.94,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2  small red onions; 2 cups white vinegar; 2 cups water; ⅓ cup cane sugar; 2 tablespoons sea salt; 2  garlic cloves; 1 teaspoon mixed peppercorns
www.recipetineats.com/meatloaf-recipe/#jump-watch,Meatloaf recipe,90m,4.96,463,404,26,10,7,N/A,129,607,15,24,"1 cup panko breadcrumbs ((Note 1)); 1  large onion (, grated (brown, yellow)); 1 kg / 2 lb   ground beef (mince) (, preferably not lean); 2  eggs; 3  garlic cloves (, minced); 1 tsp Worcestershire Sauce; 1/4 cup tomato ketchup; 1/4 cup chopped parsley ((optional), or 2 tsp dried parsley or basil); 1 tsp dried thyme; 2  beef bouillon cubes (, crumbled or 2 tsp beef powder (Note 2)); 1 tsp black pepper; 1/2 cup tomato ketchup; 2 tbsp cider vinegar; 1 tbsp brown sugar (, lightly packed)"
sallysbakingaddiction.com/blueberry-muffins/,My Best Blueberry Muffins,45m,4.8,812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1/2 cup (100g) packed light or dark brown sugar; 1/2 cup (67g) chopped walnuts (or pecans); 1 teaspoon ground cinnamon; 1 and 3/4 cups (219g) all-purpose flour (spooned &amp; leveled); 1 teaspoon baking soda; 1 teaspoon baking powder; 1/2 teaspoon salt; 1/2 cup (8 Tbsp; 113g) unsalted butter, softened to room temperature; 1/2 cup (100g) granulated sugar; 1/4 cup (50g) packed light or dark brown sugar; 2 large eggs, at room temperature; 1/2 cup (120g) sour cream or plain/vanilla yogurt, at room temperature; 2 teaspoons pure vanilla extract; 1/4 cup (60ml) milk, at room temperature; 1 and 1/2 cups (210g) fresh or frozen blueberries"
www.loveandlemons.com/coleslaw-dressing/,Coleslaw Dressing,5m,4.99,380,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Scant ¾ cup mayo; 2 tablespoons apple cider vinegar; 1 tablespoon Dijon mustard; 1 tablespoon pure maple syrup; ¾ teaspoon celery seeds; ¼ teaspoon sea salt; Freshly ground black pepper
www.loveandlemons.com/eggplant-parmesan/,Eggplant Parmesan,60m,4.93,548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2  large eggplants (cut into ¼-inch-thick rounds); 2  large eggs (beaten); ¼ cup almond milk; 1½ cups panko breadcrumbs; 1¼ cups grated Parmesan cheese (divided); 2 teaspoons dried oregano; 2 tablespoons fresh thyme leaves; ½ teaspoon red pepper flakes; ½ teaspoon sea salt (plus more for sprinkling); Freshly ground black pepper; Extra-virgin olive oil (for drizzling); 28 ounces Marinara Sauce; 2  large fresh mozzarella balls (thinly sliced); ⅓ cup fresh basil leaves
www.loveandlemons.com/pesto-recipe/,Basil Pesto,5m,4.89,585,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,½ cup toasted pine nuts; 2 tablespoons fresh lemon juice; 1  small garlic clove; ¼ teaspoon sea salt; freshly ground black pepper; 2 cups basil leaves; ¼ cup extra-virgin olive oil (plus more for a smoother pesto); ¼ cup freshly grated Parmesan cheese (optional)
www.loveandlemons.com/cinnamon-rolls/,Cinnamon Rolls,180m,4.95,364,216,6,3,15,1,15,202,38,3,½ cup warm water (110°F); 1 (¼-ounce) package active dry yeast or instant yeast; 1 teaspoon granulated sugar; ⅓ cup melted butter (plus more for brushing); ½ cup milk (at room temperature); ⅓ cup granulated sugar; 1 teaspoon sea salt; 2¾ cups all-purpose flour (plus more for kneading); ½ cup dark brown sugar; 1½ tablespoons cinnamon; 1½ cups powdered sugar (sifted); 3 to 4 tablespoons milk; ½ teaspoon vanilla extract; 1 recipe Cream Cheese Frosting
www.loveandlemons.com/greek-salad-dressing/,Greek Salad Dressing,5m,4.96,372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,¼ cup extra-virgin olive oil; 3 tablespoons red wine vinegar; 1  garlic clove (minced); ½ teaspoon dried oregano (more for sprinkling); ¼ teaspoon Dijon mustard; ¼ teaspoon sea salt; Freshly ground black pepper
sallysbakingaddiction.com/flaky-buttermilk-biscuits/,Homemade Biscuits (Popular Recipe!),35m,4.8,607,212,9.7,5.9,2.4,0.9,25.4,283.5,27.5,4.1,"2 and 1/2 cups (313g) all-purpose flour (spooned &amp; leveled), plus more as needed for hands and work surface; 1 Tablespoon baking powder (see Note); 1/2 teaspoon baking soda (see Note); 1 teaspoon salt; 1/2 cup (8 Tbsp; 113g) unsalted butter, cubed and very cold; 1 cup + 2 Tablespoons (270ml/g) cold buttermilk, divided; 2 teaspoons (14g) honey; 2 Tablespoons (28g) butter, melted; 1 Tablespoon (21g) honey"
www.loveandlemons.com/vegan-broccoli-soup/,Vegan Broccoli Soup,50m,4.95,368,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2 tablespoons extra-virgin olive oil (plus more for drizzling); 1  small yellow onion (diced); ½ cup chopped celery; ⅓ cup chopped carrots; 1 pound broccoli (stems diced, florets chopped); ¾ teaspoon sea salt; Freshly ground black pepper; 1  small Yukon Gold potato (diced (1 cup)); 4  garlic cloves (minced); 4 cups vegetable broth; 3 cups cubed bread (for croutons); ½ cup raw cashews; 1½ teaspoons apple cider vinegar; ½ teaspoon Dijon mustard; ¼ cup fresh dill; 1 tablespoon fresh lemon juice"
www.loveandlemons.com/vegetable-soup/,Vegetable Soup,40m,4.97,339,117,5,1,6,3,N/A,1055,17,2,2 tablespoons extra-virgin olive oil; 1  medium yellow onion (diced); 1 teaspoon sea salt (plus more to taste); Freshly ground black pepper; 1  medium carrot (diced); 1  small sweet potato (diced); 1 (14.5-ounce) can fire roasted diced tomatoes; 4  garlic cloves (chopped); 2 teaspoons dried oregano (or 2 tablespoons chopped fresh thyme or rosemary); ¼ teaspoon red pepper flakes (plus more to taste); 4 cups vegetable broth; 2  bay leaves; 1 cup halved cherry tomatoes; 1 cup chopped green beans; 1  zucchini (diced); 1 (15-ounce) can chickpeas (drained and rinsed); 2 tablespoons white wine vinegar; 1½ cups chopped kale
pinchofyum.com/very-best-chocolate-cookies,The Very Best Chocolate Cookies,30m,4.8,968,325,16.4,10,29,1.5,56.2,192.8,44.2,3.1,"2 cups unsalted butter, room temperature; 3 1/2 cups brown sugar, loosely packed; 2 large eggs; 2 teaspoons vanilla extract; 3 1/4 cups all-purpose flour (470 grams); 1 cup dark cocoa powder (100 grams); 1-2 tablespoons espresso powder (optional, but recommended if you&#8217;re using regular cocoa powder to give the flavor more depth); 1 1/2 teaspoon baking soda; 1 teaspoon salt; extra cane or granulated sugar for rolling; 1 teaspoon ground cardamom (optional)"
www.loveandlemons.com/roasted-chickpeas/,Crispy Roasted Chickpeas,25m,4.92,342,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1½ cups cooked chickpeas (drained and rinsed); Extra-virgin olive oil (for drizzling); Sea salt; Paprika, curry powder, or other spices"
www.recipetineats.com/one-pan-sausage-and-vegetable-bake-with-gravy/#wprm-recipe-container-24889,"Oven Baked Sausages with Potatoes, Vegetable AND Gravy!",60m,4.97,267,649,46,15,4,6,106,1074,32,26,"700g / 1.4 lb  baby potatoes (, halved); 3  carrots (, peeled and cut into 2""/5cm pieces); 2  red onions (, each cut into 8 wedges); 2  garlic cloves, minced; 2 tbsp olive oil; 2 tsp dried thyme; 1 tsp dried oregano; Salt and pepper; 8 - 10  sausages (500-700g / 1-1.4lb) ((Note 2)); Oil spray ((optional)); 2 tbsp / 30g  melted butter, unsalted; 2 1/2 tbsp flour ((plain / all purpose)); 2 cups / 500 ml  beef broth (or chicken) ( (Note 3)); Fresh thyme (, for garnish (optional))"
www.loveandlemons.com/air-fryer-french-fries/,Air Fryer French Fries,30m,4.98,247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2  russet potatoes (sliced into 1/4-inch sticks); Extra-virgin olive oil (for drizzling); Sea salt; Fresh herbs; Ketchup
www.loveandlemons.com/vegetarian-lasagna/,Best Vegetarian Lasagna,90m,4.93,272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Extra-virgin olive oil; 8 ounces cremini mushrooms (stemmed and quartered); 1  red bell pepper (stemmed, seeded, and cut into 1-inch pieces); 1  medium zucchini (cut into ½-inch pieces); ½  medium yellow onion (cut into ½-inch pieces); Sea salt and freshly ground black pepper; 15  lasagna noodles*; 3 cups marinara sauce (24 ounces); 3 cups fresh spinach; 2 cups grated low-moisture, part-skim mozzarella cheese; ½ cup grated pecorino cheese; Fresh basil leaves or chopped fresh parsley (for garnish); 3 cups whole milk ricotta cheese (24 ounces); 3  garlic cloves (grated); 2 teaspoons lemon zest; 1 teaspoon  sea salt; Freshly ground black pepper"
www.recipetineats.com/mexican-shredded-beef-and-tacos/#jump-watch,Mexican Shredded Beef (and Tacos),200m,4.96,264,372,12.9,4.4,4.3,1.2,152,597,7.3,53.8,"1 1/2 tbsp chipotle powder (, adjust spiciness to taste (Note 5)); 1 tbsp paprika; 1 tbsp dried oregano; 1 tsp All Spice powder ((ground All Spice)); 1 tsp coriander powder; 2 tsp onion powder or garlic powder (OR 1 tsp of each); 1 tsp salt and pepper (, each); 1 - 2 tbsp olive oil; 3 lb / 1.5kg   beef chuck or brisket ((or gravy or any other slow cooking beef) cut into 4 pieces); 5  garlic cloves, minced; 1  onion (, diced (yellow, brown or white)); 3/4 cup (185 ml)  orange juice; 2 tbsp lime juice; 14 oz / 400g   can crushed tomatoes; 2 cups (500 ml)  beef or chicken broth/stock; 1/2 cup (125ml)  water; Salt and pepper"
www.recipetineats.com/classic-pumpkin-soup/#jump-watch,Pumpkin Soup - Classic and Easy,15m,4.96,268,189,11,6,9,1,40,723,22,3,"1.2 kg / 2.4 lb  pumpkin (any type) ( OR butternut squash, unpeeled weight (Note 1)); 1  onion (, sliced (white, brown, yellow)); 2  garlic cloves (, peeled whole); 3 cups vegetable or chicken broth/stock (, low sodium); 1 cup water; Salt and pepper; 1/2 - 3/4 cup cream (, half and half or milk (Note 2))"
www.recipetineats.com/thai-green-curry/#recipe,Thai Green Curry,35m,4.97,254,352,31,25,7,5,N/A,54,16,7,"4 - 6 tbsp Thai Green Curry Paste (Maesri best) OR ((Note 1)); 1 quantity homemade green curry paste ((Note 1)); 2  large garlic cloves (, minced); 2 tsp fresh ginger (, finely grated); 1 tbsp lemongrass paste ((Note 2)); 2 tbsp vegetable oil; 1 cup (250ml)   chicken or vegetable broth, low sodium; 400 g/14oz   coconut milk (, full fat (Note 4)); 1 - 3 tsp fish sauce *; 1 - 3 tsp white sugar *; 1/8 tsp salt *; 6  kaffir lime leaves (, torn in half (Note 5)); 350 g/12 oz   chicken thigh (, skinless boneless, sliced (Note 6)); 2  Japanese eggplants,  (, small, 1cm / 2/5"" slices (Note 7)); 1 1/2 cups snow peas (, small, trimmed); 16  Thai basil leaves ((Note 8)); Juice of 1/2 lime (, to taste); Crispy fried Asian shallots (, high recommended (Note 9)); Thai basil or cilantro/coriander (, recommended); Green or red chillies slices (, optional); Steamed jasmine rice"
www.loveandlemons.com/frittata-recipe/,"Frittata Recipe, plus 5 Variations",30m,4.96,245,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6  large eggs (use 8 eggs for a 12-inch skillet); ¼ cup unsweetened almond milk (or any milk); 2  garlic cloves (minced); ¼ teaspoon sea salt (more for sprinkling); Freshly ground black pepper; Extra-virgin olive oil (for drizzling); Additional ingredients for your desired variation; 6  scallions (chopped); 2 cups chopped broccoli or broccolini; ⅛ teaspoon smoked paprika; ¼ cup crumbled feta cheese; 1  shallot (chopped); 2  roasted red bell peppers (chopped); 2 cups spinach; ⅓ cup crumbled feta cheese; 4  spring onions or scallions (chopped); ½ cup chopped asparagus (tender parts); ½ cup frozen peas (thawed); ½ cup halved mini mozzarella balls; ¼ cup crumbled feta cheese; ¼ cup chopped tarragon or chives; 1  shallot (chopped); 12 ounces mixed mushrooms (chopped); ¼ cup chopped tarragon; ⅓ cup grated pecorino cheese; 1  shallot (chopped); 2 cups halved cherry tomatoes; ¾ cup halved mini mozzarella balls; ½ cup sliced fresh basil leaves
www.recipetineats.com/christmas-recipes/#wprm-recipe-container-33616,Super Easy Christmas Menu,900m,4.99,217,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3  Minute Festive  Brie; Crackers for dipping; Juicy Slow Cooker Turkey Breast with Gravy; Brown Sugar Glazed Ham OR; Maple Glazed Ham OR; Christmas Baked Salmon; Easy creamy cheesy Potato Bake; OR Lemon Potato Salad – easy (, and great make ahead!); Wild Rice Salad; Choose a side salad (OR); Leafy greens, a garden salad or halved cherry tomatoes (+ torn up basil) (with one of these dressings:); Balsamic Dressing (or); French Dressing (or); Italian Dressing; Store bought bread; Butter or olive oil for dipping; Easy Chocolate Fudge Cake"
www.loveandlemons.com/granola/,Homemade Granola,40m,4.92,323,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2 cups whole rolled oats; ½ cup chopped walnuts (or almonds, or a mix of both); ½ cup coconut flakes (optional); 2 teaspoons cinnamon; ½ teaspoon sea salt; 2 tablespoons melted coconut oil; ¼ cup maple syrup; 2 tablespoons creamy almond butter; ⅓ cup dried cranberries (optional)"
www.loveandlemons.com/cilantro-lime-dressing/,Cilantro Lime Dressing,5m,4.97,229,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 cups fresh cilantro; 1  garlic clove; ¼ cup fresh lime juice; 2 teaspoons maple syrup or honey; ½ teaspoon ground coriander; ½ teaspoon sea salt; ½ cup extra-virgin olive oil; 1  avocado; ½ cup whole milk Greek yogurt
www.recipetineats.com/fluffy-coconut-rice/#wprm-recipe-container-21536,Restaurant Style Coconut Rice (Coconut Milk),17m,4.95,315,192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2 cups jasmine rice ((Note 1)); 400 ml / 14 oz  coconut milk (, full fat or light (Note 2)); 1 cup water; 5 tsp white sugar ((Note 3)); 1/2 tsp cooking / kosher salt; 1  pandan leaves (, knotted); 2  kaffir lime leaves (, crushed in hand); 1 tbsp desiccated coconut (, toasted, to garnish)"
cookieandkate.com/how-to-make-tzatziki/,Best Tzatziki,15m,4.8,406,78,5.4,1.4,2.7,0.4,4.6,154.2,4.5,3.8,"2 cups grated cucumber (from about 1 medium 10-ounce cucumber, no need to peel or seed the cucumber first, grate on the large holes of your box grater); 1 &frac12; cups plain Greek yogurt; 2 tablespoons extra-virgin olive oil; 2 tablespoons chopped fresh mint and/or dill; 1 tablespoon lemon juice; 1 medium clove garlic, pressed or minced; &frac12; teaspoon fine sea salt"
sallysbakingaddiction.com/giant-chocolate-chip-cookies/,Giant Chocolate Chip Cookies,40m,4.9,217,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2 and 1/4 cups (281g) all-purpose flour (spooned &amp; leveled); 1 and 1/2 teaspoons cornstarch; 1 teaspoon baking soda; 1/2 teaspoon salt; 3/4 cup (12 Tbsp; 170g) unsalted butter, softened to room temperature; 3/4 cup (150g) packed light or dark brown sugar; 1/2 cup (100g) granulated sugar; 1 large egg + 1 egg yolk, at room temperature; 2 teaspoons pure vanilla extract; 1 and 1/2 cups (270g) semi-sweet chocolate chips (plus extra for tops, if desired)"
www.recipetineats.com/chicken-cordon-bleu-easy-fancy/#recipe,Easy Chicken Cordon Bleu,45m,4.97,241,590,24.1,8.8,3.2,1.5,207,996,19.4,72.3,"Panko breadcrumbs - 1/2 cup for Super Easy or 1 cup for Quick Dredge; Oil spray; 2  small chicken breasts,  (around 6-7oz/180-210g each); Salt and pepper; 4 slices swiss cheese ((Note 1)); 4  to 6 slices of ham,  (about 2.5oz/75g (Note 2)); 3 tbsp mayonnaise; 1 1/2 tbsp Dijon mustard; 1  egg; 2 tsp plain flour; 1 1/2 tbsp butter; 1 1/2 tbsp flour; 1 1/4 cups milk ((Note 3)); 2 tbsp Dijon mustard; 3 tbsp parmesan cheese, finely grated"
www.recipetineats.com/real-chinese-purpose-stir-fry-sauce/#wprm-recipe-container-21963,Real Chinese All Purpose Stir Fry Sauce (Charlie!),2m,4.93,301,34,1.7,N/A,0.9,N/A,N/A,504,3.7,0.6,"1/2 cup  light soy sauce ( (Note 1)); 1/2 cup  oyster sauce; 1/4 cup  Chinese wine ((or dry sherry) (Note 5)); 1/4 cup  cornstarch / cornflour; 1 tbsp sugar; 2 tbsp sesame oil (, toasted); 1 tsp ground white pepper ((I sometimes use 1 tbsp, I like the spiciness!))"
www.recipetineats.com/wonton-soup/#recipe,Wonton Soup,35m,4.98,236,234,6.4,1.3,1.8,1.2,80,932,25,17.5,"50 - 60  wonton wrappers ((Note 1)); 200 g / 7 oz   lean pork mince ((ground pork)); 200 g / 7 oz   peeled prawns / shrimp (, roughly chopped); 1 tbsp ginger (, finely grated (1.5"" / 3cm piece)); 2  shallots / green onions (, finely chopped (5 tbsp)); 1 tbsp light soy sauce ((Note 2)); 2 tbsp Chinese cooking wine ((Shaoxing wine) (Note 3)); 1/2 tsp salt; 2 tbsp sesame oil, toasted ((Note 4)); 3 cups / 750 ml   chicken broth ((Note 5)); 2  garlic cloves (, smashed (6)); ⅓"" / 1 cm   piece of ginger (, sliced (optional, but highly recommended)); 1½ tbsp light soy sauce ((Note 2)); 2 tsp sugar ((any)); 1½ tbsp chinese cooking wine ((Note 3)); ¼ - ½ tsp sesame oil; Shallots / scallions (, finely chopped); Bok choy (, quartered, or Chinese broccoli cut into 10cm /4"" lengths (optional)); 40 - 50 g / 1.5 - 1.75 oz   dried egg noodles per person (, (optional) (8))"
www.recipetineats.com/red-velvet-cake/#wprm-recipe-container-20356,Red Velvet Cake,55m,4.94,316,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2 2/3 cups (400 g)  plain cake flour ((Note 1)); 2 tbsp (10 g)  cocoa powder (, unsweetened); 1 tsp (5 g)  baking soda / bi-carb soda (, NOT baking powder (Note 2)); Pinch of salt; 1/2 cup (115 g)  unsalted butter (, softened (1 US stick)); 1 1/2 cups (330 g)  caster / superfine white sugar  ((Note 3a)); 2  eggs (, at room temperature (around 2 oz / 60g each)); 1 cup (250ml)  vegetable oil; 1 tsp white vinegar; 2 tsp vanilla extract  ((or essence)); 1 cup (250 ml)  buttermilk (, at room temperature (Note 4)); 2 1/2 tbsp red food colouring liquid  ((UK: use Gel, Note 7)); 14 oz (400 g)  Philadelphia Cream Cheese, block  (, softened but not too soft (UK see Note 9)); 1/2 cup (115 g)  unsalted butter (, softened (but not too soft)); 1 1/2 tsp vanilla extract; 4 cups (450 g)  soft icing sugar / powdered sugar (sifted (Note 3b))"
www.loveandlemons.com/quinoa/,How to Cook Quinoa,27m,4.91,287,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 cup quinoa (rinsed); 1¾ cups water
